One_of_top_3_CPC_for_PC,CPC Description,Device Type Description,PRODUCTCODE
A61B18/1492,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- Surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body (eye surgery A61F9/007; ear surgery A61F11/00)-- .by heating (by applying electromagnetic radiation A61B18/18; hyperthermia using electric or magnetic fields, radiation or ultrasound A61N)-- ..by passing a current through the tissue to be heated, e.g. high-frequency current-- ...Probes or electrodes therefor-- ....having a flexible, catheter-like structure, e.g. for heart ablation (A61B18/1477 takes precedence)","Rigid gas permeable contact lens. --Lens, Contact (Other Material) - Daily",HQD
A61B18/18,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- Surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body (eye surgery A61F9/007; ear surgery A61F11/00)-- .by applying electromagnetic radiation, e.g. microwaves (radiation therapy A61N5/00)","Rigid gas permeable contact lens. --Lens, Contact (Other Material) - Daily",HQD
A61B17/12172,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- .for ligaturing or otherwise compressing tubular parts of the body, e.g. blood vessels, umbilical cord (specially adapted for vas deferens or fallopian tubes A61F6/20; materials for ligaturing blood vessels A61L17/00)-- ..Occluding by internal devices, e.g. balloons or releasable wires (plugging an opening in the wall of an organ A61B17/0057; occluders for the cervical canal A61F6/146; vas deferens occluders A61F6/20)-- ...characterised by the type of occluding device-- ....having a mesh structure (A61B17/1214 takes precedence)-- .....having a pre-set deployed three-dimensional shape (methods of manufacturing A61B2017/00526)","Vascular embolization device. --Device, Vascular, For Promoting Embolization",KRD
A61B17/12109,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- .for ligaturing or otherwise compressing tubular parts of the body, e.g. blood vessels, umbilical cord (specially adapted for vas deferens or fallopian tubes A61F6/20; materials for ligaturing blood vessels A61L17/00)-- ..Occluding by internal devices, e.g. balloons or releasable wires (plugging an opening in the wall of an organ A61B17/0057; occluders for the cervical canal A61F6/146; vas deferens occluders A61F6/20)-- ...characterised by the location of the occluder-- ....in a blood vessel","Vascular embolization device. --Device, Vascular, For Promoting Embolization",KRD
A61B2017/1205,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Surgery; Surgical instruments, devices or methods, e.g. tourniquets (A61B18/00 takes precedence; contraceptive devices, pessaries, or applicators therefor A61F6/00; eye surgery A61F9/007; ear surgery A61F11/00)-- .for ligaturing or otherwise compressing tubular parts of the body, e.g. blood vessels, umbilical cord (specially adapted for vas deferens or fallopian tubes A61F6/20; materials for ligaturing blood vessels A61L17/00)-- ..Occluding by internal devices, e.g. balloons or releasable wires (plugging an opening in the wall of an organ A61B17/0057; occluders for the cervical canal A61F6/146; vas deferens occluders A61F6/20)-- ...Introduction devices","Vascular embolization device. --Device, Vascular, For Promoting Embolization",KRD
A61K38/00,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing peptides (peptides containing beta-lactam rings A61K31/00; cyclic dipeptides not having in their molecule any other peptide link than those which form their ring, e.g. piperazine-2,5-diones, A61K31/00; ergot alkaloids of the cyclic peptide type A61K31/48; containing macromolecular compounds having statistically distributed amino acid units A61K31/74; medicinal preparations containing antigens or antibodies A61K39/00; medicinal preparations characterised by the non-active ingredients, e.g. peptides as drug carriers, A61K47/00)","Electrical salivary stimulatory system. --Stimulator, Salivary System",LTF
A61N1/3606,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B; surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body A61B18/00; anaesthetic apparatus in general A61M; incandescent lamps H01K; infra-red radiators for heating H05B)-- Electrotherapy; Circuits therefor (A61N2/00 takes precedence; irradiation apparatus A61N5/00)-- .Applying electric currents by contact electrodes-- ..alternating or intermittent currents {applying electric fields by inductive or capacitive coupling A61N1/40; microwave apparatus A61N5/02}-- ...for stimulation-- ....Implantable neurostimulators for stimulating central or peripheral nerve system-- .....adapted for a particular treatment","Electrical salivary stimulatory system. --Stimulator, Salivary System",LTF
A61N1/36007,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B; surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body A61B18/00; anaesthetic apparatus in general A61M; incandescent lamps H01K; infra-red radiators for heating H05B)-- Electrotherapy; Circuits therefor (A61N2/00 takes precedence; irradiation apparatus A61N5/00)-- .Applying electric currents by contact electrodes-- ..alternating or intermittent currents {applying electric fields by inductive or capacitive coupling A61N1/40; microwave apparatus A61N5/02}-- ...for stimulation-- ....of urogenital or gastrointestinal organs, e.g. for incontinence control","Electrical salivary stimulatory system. --Stimulator, Salivary System",LTF
A61K38/00,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing peptides (peptides containing beta-lactam rings A61K31/00; cyclic dipeptides not having in their molecule any other peptide link than those which form their ring, e.g. piperazine-2,5-diones, A61K31/00; ergot alkaloids of the cyclic peptide type A61K31/48; containing macromolecular compounds having statistically distributed amino acid units A61K31/74; medicinal preparations containing antigens or antibodies A61K39/00; medicinal preparations characterised by the non-active ingredients, e.g. peptides as drug carriers, A61K47/00)","Tacrolimus test system. --Enzyme Immunoassay, Tracrolimus",MLM
A61K2039/505,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing antigens or antibodies (materials for immunoassay G01N33/53)-- .comprising antibodies","Tacrolimus test system. --Enzyme Immunoassay, Tracrolimus",MLM
A61K45/06,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing active ingredients not provided for in groups A61K31/00-A61K41/00-- .Mixtures of active ingredients without chemical characterisation, e.g. antiphlogistics and cardiaca","Tacrolimus test system. --Enzyme Immunoassay, Tracrolimus",MLM
A61F2/07,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Filters implantable into blood vessels; Prostheses, i.e. artificial substitutes or replacements for parts of the body; Appliances for connecting them with the body; Devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. stents (as cosmetic articles, see the relevant subclasses, e.g. wigs, hair pieces, A41G3/00, A41G5/00; artificial nails A45D31/00; dental prostheses A61C13/00; materials for prostheses A61L27/00; artificial hearts A61M60/00; artificial kidneys A61M1/14)-- .Prostheses implantable into the body {closure means for urethra or rectum or for artificial body openings therefor A61F2/0004}-- ..Hollow or tubular parts of organs, e.g. bladders, tracheae, bronchi or bile ducts (A61F2/18, A61F2/20 take precedence; devices, other than stent-grafts, providing patency to, or preventing collapsing of, tubular structures of the body other than stent-grafts, e.g. stents A61F2/82; instruments specially adapted for placement or removal of stents or stent-grafts A61F2/95)-- ...Blood vessels-- ....Stent-grafts","Vascular graft prosthesis. --Graft, Vascular, Synthetic/Biologic Composite",MAL
A61F2002/075,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)-- Filters implantable into blood vessels; Prostheses, i.e. artificial substitutes or replacements for parts of the body; Appliances for connecting them with the body; Devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. stents (as cosmetic articles, see the relevant subclasses, e.g. wigs, hair pieces, A41G3/00, A41G5/00; artificial nails A45D31/00; dental prostheses A61C13/00; materials for prostheses A61L27/00; artificial hearts A61M60/00; artificial kidneys A61M1/14)-- .Prostheses implantable into the body {closure means for urethra or rectum or for artificial body openings therefor A61F2/0004}-- ..Hollow or tubular parts of organs, e.g. bladders, tracheae, bronchi or bile ducts (A61F2/18, A61F2/20 take precedence; devices, other than stent-grafts, providing patency to, or preventing collapsing of, tubular structures of the body other than stent-grafts, e.g. stents A61F2/82; instruments specially adapted for placement or removal of stents or stent-grafts A61F2/95)-- ...Blood vessels-- ....Stent-grafts-- .....the stent being loosely attached to the graft material, e.g. by stitching","Vascular graft prosthesis. --Graft, Vascular, Synthetic/Biologic Composite",MAL
