One_of_top_3_CPC_for_PC,CPC Description,Device Type (PC) Description,PRODUCTCODE
A61G7/0528,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)-- Invalid beds or accessories; Treatment rooms for medical purposes; Accommodation for nursing; Beds specially adapted for nursing; Devices for lifting patients or disabled persons (stretchers with facilities for picking up patients or disabled persons A61G1/003)-- .Parts, details or accessories of beds (devices for prevention against falling out A47C21/08, A47D7/00{; mattresses A47C27/00})-- ..Steering or braking devices for castor wheels","Powered patient rotation bed. --Bed, Patient Rotation, Powered",IKZ
A61B6/032,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Apparatus for radiation diagnosis, e.g. combined with radiation therapy equipment (instruments measuring radiation intensity for application in the field of nuclear medicine, e.g. in vivo counting, G01T1/161; apparatus for taking X-ray photographs G03B42/02)-- .Devices for diagnosis sequentially in different planes; Stereoscopic radiation diagnosis-- ..Computerised tomographs (echo-tomography A61B8/14)-- ...Transmission computed tomography [CT]","Powered patient rotation bed. --Bed, Patient Rotation, Powered",IKZ
A61B2562/0219,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Details of surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body-- Details of sensors; Constructional details of sensor housings or probes; Accessories for sensors-- .Details of sensors specially adapted for in-vivo measurements-- ..Inertial sensors, e.g. accelerometers, gyroscopes, tilt switches","Bleeding time device. --Device, Bleeding Time",JCA
A61B5/0022,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Remote monitoring of patients using telemetry, e.g. transmission of vital signals via a communication network (A61B5/07 takes precedence; transmission systems for measured values G08C; transmission H04B; transmission of digital information H04L; wireless communication networks H04W)-- ..characterised by features of the telemetry system-- ...Monitoring a patient using a global network, e.g. telephone networks, internet","Bleeding time device. --Device, Bleeding Time",JCA
G16H50/20,"PHYSICS-- INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR SPECIFIC APPLICATION FIELDS-- HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA-- ICT specially adapted for medical diagnosis, medical simulation or medical data mining; ICT specially adapted for detecting, monitoring or modelling epidemics or pandemics-- .for computer-aided diagnosis, e.g. based on medical expert systems","Bleeding time device. --Device, Bleeding Time",JCA
A61M16/06,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Inhaling devices; Inhalators {drug delivery in endotracheal tubes A61M16/04}-- Devices for influencing the respiratory system of patients by gas treatment, e.g. mouth-to-mouth respiration; Tracheal tubes (stimulating the respiratory movement by mechanical, pneumatic or electrical means, iron lungs combined with gas breathing means A61H31/00)-- .Respiratory or anaesthetic masks","Oxygen mask. --Mask, Oxygen",BYG
A61M2202/0208,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Special media to be introduced, removed or treated (applying radioactive material A61N5/1028)-- .Gases-- ..Oxygen","Oxygen mask. --Mask, Oxygen",BYG
A61M16/0683,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Inhaling devices; Inhalators {drug delivery in endotracheal tubes A61M16/04}-- Devices for influencing the respiratory system of patients by gas treatment, e.g. mouth-to-mouth respiration; Tracheal tubes (stimulating the respiratory movement by mechanical, pneumatic or electrical means, iron lungs combined with gas breathing means A61H31/00)-- .Respiratory or anaesthetic masks-- ..Holding devices therefor","Oxygen mask. --Mask, Oxygen",BYG
A61K38/00,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing peptides (peptides containing beta-lactam rings A61K31/00; cyclic dipeptides not having in their molecule any other peptide link than those which form their ring, e.g. piperazine-2,5-diones, A61K31/00; ergot alkaloids of the cyclic peptide type A61K31/48; containing macromolecular compounds having statistically distributed amino acid units A61K31/74; medicinal preparations containing antigens or antibodies A61K39/00; medicinal preparations characterised by the non-active ingredients, e.g. peptides as drug carriers, A61K47/00)","Triiodothyronine uptake test system. --Radioassay, Triiodothyronine Uptake",KHQ
A61K45/06,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing active ingredients not provided for in groups A61K31/00-A61K41/00-- .Mixtures of active ingredients without chemical characterisation, e.g. antiphlogistics and cardiaca","Triiodothyronine uptake test system. --Radioassay, Triiodothyronine Uptake",KHQ
C07K7/64,"CHEMISTRY; METALLURGY-- CHEMISTRY; INORGANIC CHEMISTRY-- ORGANIC CHEMISTRY-- PEPTIDES (peptides in foodstuffs A23; obtaining protein compositions for foodstuffs, working-up proteins for foodstuffs A23J; preparations for medicinal purposes A61K; peptides containing beta-lactam rings C07D; cyclic dipeptides not having in their molecule any other peptide link than those which form their ring, e.g. piperazine-2,5-diones, C07D; ergot alkaloids of the cyclic peptide type C07D519/02; macromolecular compounds having statistically distributed amino acid units in their molecules, i.e. when the preparation does not provide for a specific; but for a random sequence of the amino acid units, homopolyamides and block copolyamides derived from amino acids C08G69/00; macromolecular products derived from proteins C08H1/00; preparation of glue or gelatine C09H; single cell proteins, enzymes C12N; genetic engineering processes for obtaining peptides C12N15/00; compositions for measuring or testing processes involving enzymes C12Q; investigation or analysis of biological material G01N33/00)-- Peptides having 5 to 20 amino acids in a fully defined sequence; Derivatives thereof-- .Cyclic peptides containing only normal peptide links","Triiodothyronine uptake test system. --Radioassay, Triiodothyronine Uptake",KHQ
A61B1/267,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- .for the respiratory tract, e.g. laryngoscopes, bronchoscopes","Rigid laryngoscope. --Laryngoscope, Rigid",CCW
A61M16/0488,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Inhaling devices; Inhalators {drug delivery in endotracheal tubes A61M16/04}-- Devices for influencing the respiratory system of patients by gas treatment, e.g. mouth-to-mouth respiration; Tracheal tubes (stimulating the respiratory movement by mechanical, pneumatic or electrical means, iron lungs combined with gas breathing means A61H31/00)-- .Tracheal tubes (catheters in general A61M25/00)-- ..Mouthpieces; Means for guiding, securing or introducing the tubes (guiding or introducing with laryngoscopes A61B1/267; holding devices on the body A61M25/02)","Rigid laryngoscope. --Laryngoscope, Rigid",CCW
A61B1/00052,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- .Operational features of endoscopes-- ..provided with output arrangements-- ...Display arrangement-- ....positioned at proximal end of the endoscope body","Rigid laryngoscope. --Laryngoscope, Rigid",CCW
A61C15/046,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE (non-driven toothbrushes A46B; {tongue scrapers A61B17/24;};  preparations for dentistry A61K6/00; preparations for cleaning the teeth or mouth A61K8/00, A61Q11/00)-- Tooth-cleaning or mouth-rinsing devices (non-driven toothbrushes A46B; {tongue scrapers A61B17/24;};  preparations for cleaning the teeth or mouth A61K8/00, A61Q11/00); Devices for cleaning between the teeth-- .Dental floss; Floss holders-- ..Flossing tools","Dental floss. --Floss, Dental",JES
A61C15/043,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE (non-driven toothbrushes A46B; {tongue scrapers A61B17/24;};  preparations for dentistry A61K6/00; preparations for cleaning the teeth or mouth A61K8/00, A61Q11/00)-- Tooth-cleaning or mouth-rinsing devices (non-driven toothbrushes A46B; {tongue scrapers A61B17/24;};  preparations for cleaning the teeth or mouth A61K8/00, A61Q11/00); Devices for cleaning between the teeth-- .Dental floss; Floss holders-- ..Containers, dispensers, or the like, e.g. with cutting means (A61C15/046 takes precedence)","Dental floss. --Floss, Dental",JES
A61C15/041,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE (non-driven toothbrushes A46B; {tongue scrapers A61B17/24;};  preparations for dentistry A61K6/00; preparations for cleaning the teeth or mouth A61K8/00, A61Q11/00)-- Tooth-cleaning or mouth-rinsing devices (non-driven toothbrushes A46B; {tongue scrapers A61B17/24;};  preparations for cleaning the teeth or mouth A61K8/00, A61Q11/00); Devices for cleaning between the teeth-- .Dental floss; Floss holders-- ..Dental floss (chemical aspects A61Q11/00)","Dental floss. --Floss, Dental",JES
A61H1/0214,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY (electrotherapy, magnetotherapy, radiation therapy, ultrasound therapy A61N)-- Apparatus for passive exercising (A61H5/00 takes precedence); Vibrating apparatus {driving means for vibrating A61H23/00}; ; Chiropractic devices, e.g. body impacting devices, external devices for briefly extending or aligning unbroken bones-- .Stretching or bending {or torsioning};  apparatus for exercising-- ..by rotating cycling movement","Powered exercise equipment. --Exerciser, Powered",BXB
A61H2201/1253,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY; ARTIFICIAL RESPIRATION; MASSAGE; BATHING DEVICES FOR SPECIAL THERAPEUTIC OR HYGIENIC PURPOSES OR SPECIFIC PARTS OF THE BODY (electrotherapy, magnetotherapy, radiation therapy, ultrasound therapy A61N)-- Characteristics of apparatus not provided for in the preceding codes-- .Driving means-- ..driven by a human being, e.g. hand driven","Powered exercise equipment. --Exerciser, Powered",BXB
